id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
443603,Boma Rang Thai & Chainese Kitchen,"Arekere,Bangalore",4.4,20,400,Chinese,2.12E+13,https://www.swiggy.com/restaurants/boma-rang-thai-and-chainese-kitchen-arekere-bangalore-443603,"Boma Rang Thai & Chainese Kitchen, #No 27/2 and 29/1 2nd main vijayashree Layout , Hulimavu gate behind ICICI Bank , Bennerghatta Road Bengaluru, Bommanahalli 560076",Menu/443603.json
58913,Street Foods By Punjab Grill,"Arekere,Bangalore",3.8,100,350,"North Indian,Indian",1.12E+13,https://www.swiggy.com/restaurants/street-foods-by-punjab-grill-royal-meenakshi-mall-hulimavu-bangalore-58913,"Street Foods By Punjab Grill, 3RD FLOOR ,FOOD COURT,ROYAL MEENAKSHI MALL,BANNERGHATTA MAIN ROAD,BENGALURU,KARNATAKA",Menu/58913.json
438025,Crazy Bao,"Arekere,Bangalore",3.3,20,600,"Chinese,Asian",1.12E+13,https://www.swiggy.com/restaurants/crazy-bao-arekere-bangalore-438025,"Crazy Bao, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttenahalli, JP Nagar, Bangalore - 560078",Menu/438025.json
325225,SGS Non Veg - Gundu Pulav,"Arekere,Bangalore",2.8,20,400,"Indian,Biryani",1.12E+13,https://www.swiggy.com/restaurants/sgs-non-veg-gundu-pulav-arekere-j-p-nagar-bangalore-325225,"SGS Non Veg - Gundu Pulav, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore 560078",Menu/325225.json
348325,Beycam malabar restaurent,"Arekere,Bangalore",3.8,100,400,"Kerala,Seafood",2.12E+13,https://www.swiggy.com/restaurants/beycam-malabar-restaurent-arekere-bangalore-348325,"Beycam malabar restaurent, Beycam Malabar Restaurant, Basement floor of Canara Bank ATM, ARN Arcade 7/9, Basement Shop 1 & 2, Arekere Main Road, Bannerghatta Road, Bangalore -560076",Menu/348325.json
390040,NH1 Bowls - Highway To North,"Arekere,Bangalore",4.2,20,250,"North Indian,Punjabi",1.12E+13,https://www.swiggy.com/restaurants/nh1-bowls-highway-to-north-arakere-mico-layout-main-road-arekere-bangalore-390040,"NH1 Bowls - Highway To North, Shop No. 5, Shbari Complex, Arakere Mico Layout main Road, Govinda Reddy Layout, Off B G Road",Menu/390040.json
182008,Bombay Kulfi,"Arekere,Bangalore",4.1,50,100,"Desserts,Ice Cream",2.12E+13,https://www.swiggy.com/restaurants/bombay-kulfi-arekere-bangalore-182008,"Bombay Kulfi, No 16,  Avani Shringeri Nagar, Hulimavu, B G road, Near Royal Enfield showroom , Hulimavu, Bengaluru, Karnataka 560076",Menu/182008.json
42155,Rolls On Wheels,"Arekere,Bangalore",4.4,500,200,Snacks,1.12E+13,https://www.swiggy.com/restaurants/rolls-on-wheels-sri-rama-layout-j-p-nagar-bangalore-42155,"Rolls On Wheels, No. 53, Sri Rama Layout, Near Brigade Millinium, J P Nagar 7th Phase, Bangalore 560078",Menu/42155.json
67754,The Village Kitchen,"Arekere,Bangalore",3.7,100,300,"South Indian,North Indian",2.02E+13,https://www.swiggy.com/restaurants/the-village-kitchen-bommanahalli-garvebhavi-palya-bangalore-67754,"The Village Kitchen, Spice Resto, # 12, Garepalya-Hongasandra Road, Opp Piller 50, Hosur Road, Bangalore - 560 068",Menu/67754.json
465769,Brahmasree Anna kuteera,"Arekere,Bangalore",3.3,20,120,"South Indian,North Indian",1.12E+13,https://www.swiggy.com/restaurants/brahmasree-anna-kuteera-arekere-bangalore-465769,"Brahmasree Anna kuteera, Brahmasree Annakuteera 48, 1st Main Rd, byrappa circle, jambusawari dinne, 8th Phase, Gottigere, Bengaluru, Karnataka 560075",Menu/465769.json
279861,The Empire Juice Shop,"Arekere,Bangalore",4,50,200,"Juices,Ice Cream",1.12E+13,https://www.swiggy.com/restaurants/the-empire-juice-shop-arekere-bilekahalli-bangalore-279861,"The Empire Juice Shop, KATHA NO.1377 AND SY NO.148/1 & 148/2, BILEKAHALLI VILLAGE, BEGUR HOBLI, BANGALORE., District - B.B.M.P South, STATE - Karnataka -560076",Menu/279861.json
